Date,WVDATA.TotalTestResults,WVDATA.TotalTestResultsInc
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,1,1
2020-3-14,2,1
2020-3-15,5,3
2020-3-16,17,12
2020-3-17,21,4
2020-3-18,34,13
2020-3-19,97,63
2020-3-20,146,49
2020-3-21,232,86
2020-3-22,270,38
2020-3-23,330,60
2020-3-24,517,187
2020-3-25,826,309
2020-3-26,1132,306
2020-3-27,1658,526
2020-3-28,2219,561
2020-3-29,2575,356
2020-3-30,3159,584
2020-3-31,3540,381
2020-4-1,3950,410
2020-4-2,4619,669
2020-4-3,5337,718
2020-4-4,6333,996
2020-4-5,7381,1048
2020-4-6,8092,711
2020-4-7,9858,1766
2020-4-8,10707,849
2020-4-9,11327,620
2020-4-10,12318,991
2020-4-11,13474,1156
2020-4-12,14113,639
2020-4-13,14813,700
2020-4-14,15024,211
2020-4-15,15518,494
2020-4-16,16039,521
2020-4-17,16625,586
2020-4-18,17295,670
2020-4-19,17961,666
2020-4-20,19821,1860
2020-4-21,20096,275
2020-4-22,21887,1791
2020-4-23,23429,1542
2020-4-24,25725,2296
2020-4-25,29254,3529
2020-4-26,35131,5877
2020-4-27,38637,3506
2020-4-28,39455,818
2020-4-29,41287,1832
2020-4-30,43657,2370
2020-5-1,45723,2066
2020-5-2,47927,2204
2020-5-3,50274,2347
2020-5-4,51671,1397
2020-5-5,53087,1416
2020-5-6,54106,1019
2020-5-7,55663,1557
2020-5-8,57379,1716
2020-5-9,58934,1555
2020-5-10,60500,1566
2020-5-11,61316,816
2020-5-12,62403,1087
2020-5-13,63892,1489
2020-5-14,65768,1876
2020-5-15,67506,1738
2020-5-16,69900,2394
2020-5-17,71705,1805
2020-5-18,72465,760
2020-5-19,74606,2141
2020-5-20,76386,1780
2020-5-21,79583,3197
2020-5-22,81011,1428
2020-5-23,83050,2039
2020-5-24,84581,1531
2020-5-25,85355,774
2020-5-26,86464,1109
2020-5-27,87441,977
2020-5-28,89144,1703
2020-5-29,92179,3035
2020-5-30,94700,2521
2020-5-31,96297,1597
