Date,WYDATA.TotalTestResults,WYDATA.TotalTestResultsInc
2020-3-1,1,0
2020-3-2,1,0
2020-3-3,1,0
2020-3-4,4,3
2020-3-5,8,4
2020-3-6,8,0
2020-3-7,8,0
2020-3-8,9,1
2020-3-9,19,10
2020-3-10,26,7
2020-3-11,37,11
2020-3-12,75,38
2020-3-13,108,33
2020-3-14,151,43
2020-3-15,178,27
2020-3-16,300,122
2020-3-17,461,161
2020-3-18,601,140
2020-3-19,744,143
2020-3-20,942,198
2020-3-21,1020,78
2020-3-22,1086,66
2020-3-23,1307,221
2020-3-24,1467,160
2020-3-25,1733,266
2020-3-26,1977,244
2020-3-27,2204,227
2020-3-28,2306,102
2020-3-29,2384,78
2020-3-30,2641,257
2020-3-31,2922,281
2020-4-1,3238,316
2020-4-2,3663,425
2020-4-3,4067,404
2020-4-4,4232,165
2020-4-5,4380,148
2020-4-6,4813,433
2020-4-7,5180,367
2020-4-8,5459,279
2020-4-9,5787,328
2020-4-10,6059,272
2020-4-11,6163,104
2020-4-12,6210,47
2020-4-13,6524,314
2020-4-14,6831,307
2020-4-15,7066,235
2020-4-16,7306,240
2020-4-17,7602,296
2020-4-18,7701,99
2020-4-19,7784,83
2020-4-20,8083,299
2020-4-21,8380,297
2020-4-22,8669,289
2020-4-23,8938,269
2020-4-24,9356,418
2020-4-25,9453,97
2020-4-26,9530,77
2020-4-27,10111,581
2020-4-28,10782,671
2020-4-29,11226,444
2020-4-30,11660,434
2020-5-1,12279,619
2020-5-2,12402,123
2020-5-3,12528,126
2020-5-4,13108,580
2020-5-5,13549,441
2020-5-6,14149,600
2020-5-7,14677,528
2020-5-8,15159,482
2020-5-9,15287,128
2020-5-10,15390,103
2020-5-11,16006,616
2020-5-12,16514,508
2020-5-13,17013,499
2020-5-14,17586,573
2020-5-15,18240,654
2020-5-16,18462,222
2020-5-17,18569,107
2020-5-18,19225,656
2020-5-19,19870,645
2020-5-20,20472,602
2020-5-21,21395,923
2020-5-22,22175,780
2020-5-23,22368,193
2020-5-24,22524,156
2020-5-25,22700,176
2020-5-26,23541,841
2020-5-27,24516,975
2020-5-28,26385,1869
2020-5-29,27081,696
2020-5-30,27222,141
2020-5-31,27425,203
2020-6-1,28235,810
2020-6-2,28930,695
2020-6-3,29531,601
2020-6-4,30418,887
2020-6-5,31013,595
2020-6-6,31110,97
2020-6-7,31208,98
2020-6-8,31815,607
2020-6-9,32486,671
2020-6-10,33173,687
2020-6-11,33954,781
2020-6-12,34650,696
2020-6-13,34815,165
2020-6-14,34942,127
2020-6-15,35844,902
2020-6-16,36631,787
2020-6-17,37477,846
2020-6-18,38608,1131
2020-6-19,39359,751
2020-6-20,39549,190
2020-6-21,39699,150
2020-6-22,41249,1550
2020-6-23,42389,1140
2020-6-24,43656,1267
2020-6-25,44983,1327
2020-6-26,46233,1250
2020-6-27,46477,244
2020-6-28,46686,209
2020-6-29,48667,1981
2020-6-30,50287,1620
2020-7-1,51517,1230
2020-7-2,52893,1376
2020-7-3,53412,519
2020-7-4,53628,216
2020-7-5,53867,239
2020-7-6,55330,1463
2020-7-7,56636,1306
2020-7-8,57707,1071
2020-7-9,58874,1167
2020-7-10,59800,926
2020-7-11,60004,204
2020-7-12,60211,207
2020-7-13,62440,2229
2020-7-14,64044,1604
2020-7-15,65283,1239
