Date,ALDATA.OnVentCum,ALDATA.OnVentCurr
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,113,0
2020-4-12,119,0
2020-4-13,119,0
2020-4-14,132,0
2020-4-15,134,0
2020-4-16,137,0
2020-4-17,148,0
2020-4-18,148,0
2020-4-19,157,0
2020-4-20,157,0
2020-4-21,157,0
2020-4-22,170,0
2020-4-23,170,0
2020-4-24,170,0
2020-4-25,170,0
2020-4-26,170,0
2020-4-27,195,0
2020-4-28,195,0
2020-4-29,195,0
2020-4-30,195,0
2020-5-1,195,0
2020-5-2,195,0
2020-5-3,242,0
2020-5-4,247,0
2020-5-5,255,0
2020-5-6,264,0
2020-5-7,266,0
2020-5-8,266,0
2020-5-9,272,0
2020-5-10,274,0
2020-5-11,276,0
2020-5-12,280,0
2020-5-13,284,0
2020-5-14,291,0
2020-5-15,293,0
2020-5-16,295,0
2020-5-17,296,0
2020-5-18,302,0
2020-5-19,306,0
2020-5-20,309,0
2020-5-21,311,0
2020-5-22,315,0
2020-5-23,319,0
2020-5-24,320,0
2020-5-25,323,0
2020-5-26,327,0
2020-5-27,334,0
2020-5-28,338,0
2020-5-29,344,0
2020-5-30,349,0
2020-5-31,355,0
2020-6-1,355,0
2020-6-2,355,0
2020-6-3,355,0
2020-6-4,357,0
2020-6-5,358,0
2020-6-6,363,0
2020-6-7,364,0
2020-6-8,371,0
2020-6-9,375,0
2020-6-10,378,0
2020-6-11,380,0
2020-6-12,384,0
2020-6-13,395,0
2020-6-14,395,0
2020-6-15,395,0
2020-6-16,399,0
2020-6-17,401,0
2020-6-18,405,0
2020-6-19,415,0
2020-6-20,418,0
2020-6-21,424,0
2020-6-22,424,0
2020-6-23,430,0
2020-6-24,441,0
2020-6-25,447,0
2020-6-26,450,0
2020-6-27,453,0
2020-6-28,454,0
2020-6-29,457,0
2020-6-30,458,0
2020-7-1,464,0
2020-7-2,468,0
2020-7-3,474,0
2020-7-4,473,0
2020-7-5,473,0
2020-7-6,473,0
2020-7-7,479,0
2020-7-8,486,0
2020-7-9,490,0
2020-7-10,493,0
2020-7-11,496,0
2020-7-12,503,0
2020-7-13,505,0
2020-7-14,511,0
2020-7-15,514,0
2020-7-16,516,0
2020-7-17,521,0
2020-7-18,524,0
2020-7-19,526,0
2020-7-20,528,0
2020-7-21,535,0
2020-7-22,540,0
2020-7-23,553,0
2020-7-24,565,0
2020-7-25,567,0
2020-7-26,573,0
2020-7-27,577,0
2020-7-28,584,0
2020-7-29,595,0
2020-7-30,605,0
2020-7-31,613,0
2020-8-1,616,0
2020-8-2,616,0
2020-8-3,619,0
2020-8-4,634,0
2020-8-5,645,0
2020-8-6,654,0
2020-8-7,658,0
2020-8-8,661,0
2020-8-9,674,0
2020-8-10,680,0
2020-8-11,691,0
2020-8-12,700,0
2020-8-13,707,0
2020-8-14,716,0
2020-8-15,719,0
2020-8-16,720,0
2020-8-17,720,0
2020-8-18,729,0
2020-8-19,731,0
2020-8-20,734,0
2020-8-21,734,0
2020-8-22,734,0
2020-8-23,734,0
2020-8-24,754,0
2020-8-25,764,0
2020-8-26,770,0
2020-8-27,782,0
2020-8-28,794,0
2020-8-29,801,0
2020-8-30,804,0
2020-8-31,807,0
2020-9-1,817,0
2020-9-2,827,0
2020-9-3,827,0
2020-9-4,839,0
2020-9-5,848,0
2020-9-6,848,0
2020-9-7,848,0
2020-9-8,848,0
2020-9-9,854,0
2020-9-10,864,0
2020-9-11,877,0
2020-9-12,891,0
2020-9-13,892,0
2020-9-14,892,0
2020-9-15,898,0
2020-9-16,901,0
2020-9-17,900,0
2020-9-18,904,0
2020-9-19,904,0
2020-9-20,904,0
2020-9-21,904,0
2020-9-22,910,0
2020-9-23,920,0
2020-9-24,931,0
2020-9-25,1000,0
2020-9-26,1007,0
2020-9-27,1007,0
2020-9-28,1012,0
2020-9-29,1014,0
2020-9-30,1025,0
2020-10-1,1037,0
2020-10-2,1043,0
2020-10-3,1045,0
2020-10-4,1046,0
2020-10-5,1047,0
2020-10-6,1056,0
2020-10-7,1057,0
2020-10-8,1061,0
2020-10-9,1063,0
2020-10-10,1065,0
2020-10-11,1067,0
2020-10-12,1068,0
2020-10-13,1072,0
2020-10-14,1085,0
2020-10-15,1091,0
2020-10-16,1099,0
2020-10-17,1102,0
2020-10-18,1103,0
2020-10-19,1106,0
2020-10-20,1114,0
2020-10-21,1121,0
2020-10-22,1137,0
2020-10-23,1148,0
2020-10-24,1157,0
2020-10-25,1157,0
2020-10-26,1159,0
2020-10-27,1164,0
2020-10-28,1176,0
2020-10-29,1183,0
2020-10-30,1187,0
2020-10-31,1192,0
2020-11-1,1193,0
2020-11-2,1193,0
2020-11-3,1203,0
2020-11-4,1207,0
2020-11-5,1214,0
2020-11-6,1220,0
2020-11-7,1225,0
2020-11-8,1225,0
2020-11-9,1226,0
2020-11-10,1231,0
2020-11-11,1239,0
2020-11-12,1240,0
2020-11-13,1243,0
2020-11-14,1244,0
2020-11-15,1244,0
2020-11-16,1244,0
2020-11-17,1246,0
2020-11-18,1249,0
2020-11-19,1261,0
2020-11-20,1265,0
2020-11-21,1268,0
2020-11-22,1268,0
2020-11-23,1268,0
2020-11-24,1276,0
2020-11-25,1276,0
2020-11-26,1282,0
2020-11-27,1284,0
2020-11-28,1286,0
2020-11-29,1287,0
2020-11-30,1288,0
2020-12-1,1291,0
2020-12-2,1298,0
2020-12-3,1302,0
2020-12-4,1312,0
2020-12-5,1317,0
2020-12-6,1317,0
2020-12-7,1317,0
2020-12-8,1323,0
2020-12-9,1329,0
2020-12-10,1341,0
2020-12-11,1349,0
2020-12-12,1350,0
2020-12-13,1351,0
2020-12-14,1353,0
2020-12-15,1360,0
2020-12-16,1364,0
2020-12-17,1369,0
2020-12-18,1371,0
2020-12-19,1377,0
2020-12-20,1377,0
2020-12-21,1377,0
2020-12-22,1381,0
2020-12-23,1385,0
2020-12-24,1387,0
2020-12-25,1387,0
2020-12-26,1387,0
2020-12-27,1388,0
2020-12-28,1388,0
2020-12-29,1394,0
2020-12-30,1396,0
2020-12-31,1396,0
2021-1-1,1398,0
2021-1-2,1398,0
2021-1-3,1399,0
2021-1-4,1399,0
2021-1-5,1400,0
2021-1-6,1404,0
2021-1-7,1404,0
2021-1-8,1404,0
2021-1-9,1405,0
2021-1-10,1405,0
2021-1-11,1406,0
2021-1-12,1409,0
2021-1-13,1410,0
2021-1-14,1412,0
2021-1-15,1415,0
2021-1-16,1419,0
2021-1-17,1420,0
2021-1-18,1420,0
2021-1-19,1421,0
2021-1-20,1423,0
2021-1-21,1424,0
2021-1-22,1426,0
2021-1-23,1432,0
2021-1-24,1433,0
2021-1-25,1433,0
2021-1-26,1440,0
2021-1-27,1444,0
2021-1-28,1449,0
2021-1-29,1452,0
2021-1-30,1452,0
2021-1-31,1455,0
2021-2-1,1456,0
2021-2-2,1456,0
2021-2-3,1457,0
2021-2-4,1457,0
2021-2-5,1458,0
2021-2-6,1460,0
2021-2-7,1460,0
2021-2-8,1460,0
2021-2-9,1463,0
2021-2-10,1463,0
2021-2-11,1465,0
2021-2-12,1472,0
2021-2-13,1479,0
2021-2-14,1479,0
2021-2-15,1479,0
2021-2-16,1479,0
2021-2-17,1479,0
2021-2-18,1485,0
2021-2-19,1488,0
2021-2-20,1490,0
2021-2-21,1490,0
2021-2-22,1490,0
2021-2-23,1497,0
