Date,ARDATA.OnVentCum,ARDATA.OnVentCurr
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,4
2020-3-26,0,13
2020-3-27,0,17
2020-3-28,0,17
2020-3-29,0,16
2020-3-30,0,21
2020-3-31,0,23
2020-4-1,32,25
2020-4-2,32,23
2020-4-3,39,26
2020-4-4,39,23
2020-4-5,39,27
2020-4-6,39,22
2020-4-7,43,26
2020-4-8,39,30
2020-4-9,39,31
2020-4-10,39,33
2020-4-11,39,33
2020-4-12,39,30
2020-4-13,39,28
2020-4-14,39,29
2020-4-15,39,26
2020-4-16,39,21
2020-4-17,39,21
2020-4-18,57,22
2020-4-19,57,25
2020-4-20,57,24
2020-4-21,57,27
2020-4-22,57,23
2020-4-23,57,24
2020-4-24,57,24
2020-4-25,57,25
2020-4-26,57,25
2020-4-27,57,25
2020-4-28,57,20
2020-4-29,82,18
2020-4-30,85,23
2020-5-1,85,23
2020-5-2,85,20
2020-5-3,88,20
2020-5-4,88,16
2020-5-5,89,16
2020-5-6,89,14
2020-5-7,93,14
2020-5-8,93,14
2020-5-9,96,14
2020-5-10,96,14
2020-5-11,98,11
2020-5-12,98,12
2020-5-13,99,12
2020-5-14,100,13
2020-5-15,101,9
2020-5-16,101,10
2020-5-17,101,9
2020-5-18,101,12
2020-5-19,101,14
2020-5-20,101,14
2020-5-21,101,14
2020-5-22,110,14
2020-5-23,111,14
2020-5-24,111,17
2020-5-25,111,17
2020-5-26,114,18
2020-5-27,116,22
2020-5-28,118,27
2020-5-29,119,27
2020-5-30,123,26
2020-5-31,123,27
2020-6-1,123,27
2020-6-2,124,26
2020-6-3,124,31
2020-6-4,127,30
2020-6-5,138,32
2020-6-6,142,36
2020-6-7,143,35
2020-6-8,143,46
2020-6-9,144,44
2020-6-10,147,49
