Date,ILDATA.OnVentCum,ILDATA.OnVentCurr
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,821
2020-4-8,0,821
2020-4-9,0,821
2020-4-10,0,821
2020-4-11,0,821
2020-4-12,0,821
2020-4-13,0,821
2020-4-14,0,796
2020-4-15,0,796
2020-4-16,0,797
2020-4-17,0,777
2020-4-18,0,740
2020-4-19,0,749
2020-4-20,0,757
2020-4-21,0,781
2020-4-22,0,747
2020-4-23,0,766
2020-4-24,0,709
2020-4-25,0,763
2020-4-26,0,772
2020-4-27,0,763
2020-4-28,0,778
2020-4-29,0,777
2020-4-30,0,785
2020-5-1,0,777
2020-5-2,0,789
2020-5-3,0,759
2020-5-4,0,763
2020-5-5,0,780
2020-5-6,0,780
2020-5-7,0,766
2020-5-8,0,727
2020-5-9,0,739
2020-5-10,0,709
2020-5-11,0,730
2020-5-12,0,730
2020-5-13,0,714
2020-5-14,0,689
2020-5-15,0,675
2020-5-16,0,653
2020-5-17,0,735
2020-5-18,0,636
2020-5-19,0,576
2020-5-20,0,554
2020-5-21,0,609
2020-5-22,0,589
2020-5-23,0,607
2020-5-24,0,632
2020-5-25,0,605
2020-5-26,0,590
2020-5-27,0,592
2020-5-28,0,576
2020-5-29,0,593
2020-5-30,0,661
2020-5-31,0,550
