Date,NJDATA.OnVentCum,NJDATA.OnVentCurr
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,1263
2020-4-7,0,1540
2020-4-8,0,1576
2020-4-9,0,1551
2020-4-10,0,1663
2020-4-11,0,1650
2020-4-12,0,1644
2020-4-13,0,1611
2020-4-14,0,1626
2020-4-15,0,1705
2020-4-16,0,1645
2020-4-17,0,1594
2020-4-18,0,1641
2020-4-19,0,1628
2020-4-20,0,1594
2020-4-21,0,1501
2020-4-22,0,1570
2020-4-23,0,1462
2020-4-24,0,1487
2020-4-25,0,1442
2020-4-26,0,1418
2020-4-27,0,1303
2020-4-28,0,1262
2020-4-29,0,1327
2020-4-30,0,1271
2020-5-1,0,1286
2020-5-2,0,1230
2020-5-3,0,1198
2020-5-4,0,1189
2020-5-5,0,1169
2020-5-6,0,1146
2020-5-7,0,1107
2020-5-8,0,1089
2020-5-9,0,1054
2020-5-10,0,994
2020-5-11,0,970
2020-5-12,0,982
2020-5-13,0,928
2020-5-14,0,898
2020-5-15,0,865
2020-5-16,0,846
2020-5-17,0,819
2020-5-18,0,819
2020-5-19,0,789
2020-5-20,0,750
2020-5-21,0,700
2020-5-22,0,674
2020-5-23,0,611
2020-5-24,0,639
2020-5-25,0,540
2020-5-26,0,578
2020-5-27,0,583
2020-5-28,0,564
2020-5-29,0,544
2020-5-30,0,499
2020-5-31,0,378
2020-6-1,0,459
2020-6-2,0,480
2020-6-3,0,459
2020-6-4,0,459
2020-6-5,0,410
2020-6-6,0,410
2020-6-7,0,385
2020-6-8,0,361
2020-6-9,0,373
2020-6-10,0,342
2020-6-11,0,319
2020-6-12,0,300
2020-6-13,0,279
2020-6-14,0,285
2020-6-15,0,267
2020-6-16,0,245
2020-6-17,0,254
2020-6-18,0,257
2020-6-19,0,231
2020-6-20,0,238
2020-6-21,0,219
2020-6-22,0,213
2020-6-23,0,216
2020-6-24,0,214
2020-6-25,0,210
2020-6-26,0,206
2020-6-27,0,200
2020-6-28,0,187
2020-6-29,0,185
2020-6-30,0,174
2020-7-1,0,178
2020-7-2,0,170
2020-7-3,0,167
2020-7-4,0,164
2020-7-5,0,151
2020-7-6,0,152
2020-7-7,0,142
2020-7-8,0,142
2020-7-9,0,104
2020-7-10,0,94
2020-7-11,0,87
2020-7-12,0,86
2020-7-13,0,81
2020-7-14,0,79
2020-7-15,0,78
2020-7-16,0,64
2020-7-17,0,66
2020-7-18,0,73
2020-7-19,0,65
2020-7-20,0,72
2020-7-21,0,79
2020-7-22,0,77
2020-7-23,0,73
2020-7-24,0,62
2020-7-25,0,56
2020-7-26,0,54
2020-7-27,0,54
2020-7-28,0,50
2020-7-29,0,49
2020-7-30,0,51
2020-7-31,0,45
2020-8-1,0,45
2020-8-2,0,45
2020-8-3,0,49
2020-8-4,0,53
2020-8-5,0,47
2020-8-6,0,54
2020-8-7,0,73
2020-8-8,0,34
2020-8-9,0,31
2020-8-10,0,29
2020-8-11,0,43
2020-8-12,0,35
2020-8-13,0,28
2020-8-14,0,40
2020-8-15,0,43
2020-8-16,0,42
2020-8-17,0,38
2020-8-18,0,41
2020-8-19,0,32
2020-8-20,0,28
