Date,OHDATA.OnVentCum,OHDATA.OnVentCurr
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,267
2020-5-3,0,255
2020-5-4,0,275
2020-5-5,0,281
2020-5-6,0,275
2020-5-7,0,279
2020-5-8,0,274
2020-5-9,0,222
2020-5-10,0,254
2020-5-11,0,256
2020-5-12,0,270
2020-5-13,0,244
2020-5-14,0,253
2020-5-15,0,260
2020-5-16,0,251
2020-5-17,0,230
2020-5-18,0,247
2020-5-19,0,234
2020-5-20,0,248
2020-5-21,0,258
2020-5-22,0,232
2020-5-23,0,223
2020-5-24,0,205
2020-5-25,0,211
2020-5-26,0,232
2020-5-27,0,217
2020-5-28,0,190
2020-5-29,0,222
2020-5-30,0,219
2020-5-31,0,213
2020-6-1,0,223
2020-6-2,0,204
2020-6-3,0,198
2020-6-4,0,181
2020-6-5,0,168
2020-6-6,0,155
2020-6-7,0,167
2020-6-8,0,158
2020-6-9,0,153
2020-6-10,0,159
2020-6-11,0,155
2020-6-12,0,144
2020-6-13,0,152
2020-6-14,0,145
2020-6-15,0,157
2020-6-16,0,151
2020-6-17,0,148
2020-6-18,0,149
2020-6-19,0,133
2020-6-20,0,118
2020-6-21,0,119
2020-6-22,0,124
2020-6-23,0,126
2020-6-24,0,119
2020-6-25,0,121
2020-6-26,0,116
2020-6-27,0,106
2020-6-28,0,101
2020-6-29,0,115
2020-6-30,0,115
2020-7-1,0,116
2020-7-2,0,116
2020-7-3,0,100
2020-7-4,0,111
2020-7-5,0,119
2020-7-6,0,140
2020-7-7,0,140
2020-7-8,0,155
2020-7-9,0,155
2020-7-10,0,151
2020-7-11,0,155
2020-7-12,0,154
2020-7-13,0,159
2020-7-14,0,156
2020-7-15,0,146
2020-7-16,0,150
2020-7-17,0,161
2020-7-18,0,159
2020-7-19,0,163
2020-7-20,0,165
2020-7-21,0,168
2020-7-22,0,169
2020-7-23,0,178
2020-7-24,0,169
2020-7-25,0,167
2020-7-26,0,177
2020-7-27,0,164
2020-7-28,0,176
2020-7-29,0,179
2020-7-30,0,184
2020-7-31,0,185
2020-8-1,0,188
2020-8-2,0,187
2020-8-3,0,199
2020-8-4,0,197
2020-8-5,0,189
2020-8-6,0,182
2020-8-7,0,190
2020-8-8,0,185
2020-8-9,0,193
2020-8-10,0,195
2020-8-11,0,172
2020-8-12,0,173
2020-8-13,0,178
2020-8-14,0,170
2020-8-15,0,166
2020-8-16,0,161
2020-8-17,0,175
2020-8-18,0,172
2020-8-19,0,164
2020-8-20,0,169
2020-8-21,0,156
2020-8-22,0,155
2020-8-23,0,150
2020-8-24,0,146
2020-8-25,0,150
2020-8-26,0,144
2020-8-27,0,150
2020-8-28,0,151
2020-8-29,0,143
2020-8-30,0,135
2020-8-31,0,140
2020-9-1,0,127
2020-9-2,0,126
2020-9-3,0,129
2020-9-4,0,134
2020-9-5,0,136
2020-9-6,0,134
2020-9-7,0,135
2020-9-8,0,132
2020-9-9,0,141
2020-9-10,0,137
2020-9-11,0,131
2020-9-12,0,127
2020-9-13,0,126
2020-9-14,0,121
2020-9-15,0,126
2020-9-16,0,133
2020-9-17,0,127
2020-9-18,0,118
2020-9-19,0,115
2020-9-20,0,113
2020-9-21,0,108
2020-9-22,0,115
2020-9-23,0,113
2020-9-24,0,105
2020-9-25,0,98
2020-9-26,0,95
2020-9-27,0,91
2020-9-28,0,101
2020-9-29,0,98
2020-9-30,0,103
2020-10-1,0,100
2020-10-2,0,97
2020-10-3,0,94
2020-10-4,0,102
2020-10-5,0,90
2020-10-6,0,103
2020-10-7,0,107
2020-10-8,0,108
2020-10-9,0,118
2020-10-10,0,111
2020-10-11,0,105
2020-10-12,0,123
2020-10-13,0,134
2020-10-14,0,140
2020-10-15,0,134
2020-10-16,0,134
2020-10-17,0,127
2020-10-18,0,133
2020-10-19,0,158
2020-10-20,0,161
2020-10-21,0,164
2020-10-22,0,172
2020-10-23,0,195
2020-10-24,0,200
2020-10-25,0,195
2020-10-26,0,216
2020-10-27,0,225
2020-10-28,0,224
2020-10-29,0,226
2020-10-30,0,226
2020-10-31,0,235
2020-11-1,0,247
2020-11-2,0,264
2020-11-3,0,263
2020-11-4,0,272
2020-11-5,0,270
2020-11-6,0,280
2020-11-7,0,283
2020-11-8,0,295
2020-11-9,0,312
2020-11-10,0,327
2020-11-11,0,328
2020-11-12,0,332
2020-11-13,0,347
2020-11-14,0,356
2020-11-15,0,368
2020-11-16,0,407
2020-11-17,0,441
2020-11-18,0,472
2020-11-19,0,479
2020-11-20,0,488
2020-11-21,0,482
2020-11-22,0,538
2020-11-23,0,573
2020-11-24,0,598
2020-11-25,0,615
2020-11-26,0,615
2020-11-27,0,635
2020-11-28,0,638
2020-11-29,0,643
2020-11-30,0,682
2020-12-1,0,693
2020-12-2,0,714
2020-12-3,0,708
2020-12-4,0,714
2020-12-5,0,702
2020-12-6,0,725
2020-12-7,0,711
2020-12-8,0,744
2020-12-9,0,747
2020-12-10,0,760
2020-12-11,0,767
2020-12-12,0,760
2020-12-13,0,807
2020-12-14,0,827
2020-12-15,0,863
2020-12-16,0,845
2020-12-17,0,838
2020-12-18,0,817
2020-12-19,0,797
2020-12-20,0,792
2020-12-21,0,792
2020-12-22,0,742
2020-12-23,0,708
2020-12-24,0,683
2020-12-25,0,683
2020-12-26,0,694
2020-12-27,0,731
2020-12-28,0,729
2020-12-29,0,706
2020-12-30,0,693
2020-12-31,0,722
2021-1-1,0,722
