Date,PADATA.OnVentCum,PADATA.OnVentCurr
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,533
2020-4-7,0,548
2020-4-8,0,603
2020-4-9,0,592
2020-4-10,0,611
2020-4-11,0,639
2020-4-12,0,649
2020-4-13,0,669
2020-4-14,0,675
2020-4-15,0,668
2020-4-16,0,675
2020-4-17,0,661
2020-4-18,0,660
2020-4-19,0,657
2020-4-20,0,659
2020-4-21,0,673
2020-4-22,0,685
2020-4-23,0,679
2020-4-24,0,679
2020-4-25,0,640
2020-4-26,0,632
2020-4-27,0,629
2020-4-28,0,616
2020-4-29,0,602
2020-4-30,0,556
2020-5-1,0,590
2020-5-2,0,571
2020-5-3,0,562
2020-5-4,0,573
2020-5-5,0,550
2020-5-6,0,560
2020-5-7,0,539
2020-5-8,0,517
2020-5-9,0,502
2020-5-10,0,501
2020-5-11,0,497
2020-5-12,0,497
2020-5-13,0,473
2020-5-14,0,446
2020-5-15,0,431
2020-5-16,0,429
2020-5-17,0,422
2020-5-18,0,397
2020-5-19,0,380
2020-5-20,0,377
2020-5-21,0,361
2020-5-22,0,368
2020-5-23,0,348
2020-5-24,0,336
2020-5-25,0,324
2020-5-26,0,334
2020-5-27,0,351
2020-5-28,0,321
2020-5-29,0,313
2020-5-30,0,295
2020-5-31,0,296
2020-6-1,0,287
2020-6-2,0,283
2020-6-3,0,269
2020-6-4,0,268
2020-6-5,0,268
2020-6-6,0,268
2020-6-7,0,268
2020-6-8,0,268
2020-6-9,0,237
2020-6-10,0,218
2020-6-11,0,215
2020-6-12,0,202
2020-6-13,0,192
2020-6-14,0,189
2020-6-15,0,178
2020-6-16,0,179
2020-6-17,0,179
2020-6-18,0,170
2020-6-19,0,169
2020-6-20,0,161
2020-6-21,0,157
2020-6-22,0,156
2020-6-23,0,151
2020-6-24,0,136
2020-6-25,0,142
2020-6-26,0,131
2020-6-27,0,126
2020-6-28,0,121
2020-6-29,0,111
2020-6-30,0,110
2020-7-1,0,111
2020-7-2,0,106
2020-7-3,0,105
2020-7-4,0,102
2020-7-5,0,106
2020-7-6,0,107
2020-7-7,0,101
2020-7-8,0,104
2020-7-9,0,102
2020-7-10,0,103
2020-7-11,0,97
2020-7-12,0,96
2020-7-13,0,96
2020-7-14,0,95
2020-7-15,0,92
2020-7-16,0,95
2020-7-17,0,98
2020-7-18,0,93
2020-7-19,0,96
2020-7-20,0,98
2020-7-21,0,98
2020-7-22,0,100
2020-7-23,0,96
2020-7-24,0,96
2020-7-25,0,102
2020-7-26,0,104
2020-7-27,0,98
2020-7-28,0,98
2020-7-29,0,109
2020-7-30,0,109
2020-7-31,0,89
2020-8-1,0,89
2020-8-2,0,90
2020-8-3,0,103
2020-8-4,0,100
2020-8-5,0,102
2020-8-6,0,98
2020-8-7,0,99
2020-8-8,0,106
2020-8-9,0,103
2020-8-10,0,108
2020-8-11,0,98
2020-8-12,0,96
2020-8-13,0,99
2020-8-14,0,103
2020-8-15,0,99
2020-8-16,0,99
2020-8-17,0,95
2020-8-18,0,94
2020-8-19,0,94
2020-8-20,0,94
2020-8-21,0,93
2020-8-22,0,84
2020-8-23,0,75
2020-8-24,0,71
2020-8-25,0,82
2020-8-26,0,80
2020-8-27,0,82
2020-8-28,0,80
2020-8-29,0,78
2020-8-30,0,72
2020-8-31,0,78
2020-9-1,0,73
2020-9-2,0,67
2020-9-3,0,70
2020-9-4,0,66
2020-9-5,0,66
2020-9-6,0,64
2020-9-7,0,57
2020-9-8,0,63
2020-9-9,0,60
2020-9-10,0,60
2020-9-11,0,64
2020-9-12,0,63
2020-9-13,0,60
2020-9-14,0,59
2020-9-15,0,61
2020-9-16,0,60
2020-9-17,0,54
2020-9-18,0,50
2020-9-19,0,47
2020-9-20,0,49
2020-9-21,0,59
2020-9-22,0,58
2020-9-23,0,54
2020-9-24,0,53
2020-9-25,0,58
2020-9-26,0,60
2020-9-27,0,56
2020-9-28,0,64
2020-9-29,0,63
2020-9-30,0,66
2020-10-1,0,60
2020-10-2,0,63
2020-10-3,0,64
2020-10-4,0,70
2020-10-5,0,75
2020-10-6,0,74
2020-10-7,0,80
2020-10-8,0,76
2020-10-9,0,92
2020-10-10,0,94
2020-10-11,0,90
2020-10-12,0,81
2020-10-13,0,83
2020-10-14,0,91
2020-10-15,0,94
2020-10-16,0,80
2020-10-17,0,92
2020-10-18,0,93
2020-10-19,0,89
2020-10-20,0,94
2020-10-21,0,104
2020-10-22,0,110
2020-10-23,0,122
2020-10-24,0,126
2020-10-25,0,115
2020-10-26,0,108
2020-10-27,0,110
2020-10-28,0,114
2020-10-29,0,127
2020-10-30,0,131
2020-10-31,0,120
2020-11-1,0,120
2020-11-2,0,124
2020-11-3,0,134
2020-11-4,0,139
2020-11-5,0,147
2020-11-6,0,149
2020-11-7,0,157
2020-11-8,0,167
2020-11-9,0,179
2020-11-10,0,189
2020-11-11,0,193
2020-11-12,0,207
2020-11-13,0,226
2020-11-14,0,248
2020-11-15,0,265
2020-11-16,0,269
2020-11-17,0,280
2020-11-18,0,310
2020-11-19,0,318
2020-11-20,0,351
2020-11-21,0,367
2020-11-22,0,371
2020-11-23,0,380
2020-11-24,0,405
2020-11-25,0,441
2020-11-26,0,467
2020-11-27,0,445
2020-11-28,0,465
2020-11-29,0,474
2020-11-30,0,499
2020-12-1,0,524
2020-12-2,0,565
2020-12-3,0,588
2020-12-4,0,596
2020-12-5,0,573
2020-12-6,0,587
2020-12-7,0,614
2020-12-8,0,659
2020-12-9,0,675
2020-12-10,0,675
2020-12-11,0,651
2020-12-12,0,675
2020-12-13,0,672
2020-12-14,0,697
2020-12-15,0,705
2020-12-16,0,740
2020-12-17,0,745
2020-12-18,0,745
2020-12-19,0,734
2020-12-20,0,720
2020-12-21,0,738
2020-12-22,0,772
2020-12-23,0,764
2020-12-24,0,743
2020-12-25,0,737
2020-12-26,0,769
2020-12-27,0,747
2020-12-28,0,715
2020-12-29,0,698
2020-12-30,0,681
2020-12-31,0,692
2021-1-1,0,661
2021-1-2,0,649
2021-1-3,0,674
2021-1-4,0,678
2021-1-5,0,700
2021-1-6,0,673
2021-1-7,0,625
2021-1-8,0,600
2021-1-9,0,611
2021-1-10,0,640
2021-1-11,0,663
2021-1-12,0,639
2021-1-13,0,645
2021-1-14,0,626
2021-1-15,0,604
2021-1-16,0,594
2021-1-17,0,589
2021-1-18,0,583
2021-1-19,0,564
2021-1-20,0,546
2021-1-21,0,530
2021-1-22,0,507
2021-1-23,0,479
2021-1-24,0,492
2021-1-25,0,461
2021-1-26,0,436
2021-1-27,0,447
2021-1-28,0,435
2021-1-29,0,425
2021-1-30,0,451
2021-1-31,0,428
2021-2-1,0,420
2021-2-2,0,380
2021-2-3,0,378
2021-2-4,0,374
2021-2-5,0,371
2021-2-6,0,338
2021-2-7,0,329
2021-2-8,0,296
2021-2-9,0,304
2021-2-10,0,293
2021-2-11,0,301
2021-2-12,0,286
2021-2-13,0,271
2021-2-14,0,263
2021-2-15,0,265
2021-2-16,0,271
2021-2-17,0,255
2021-2-18,0,255
2021-2-19,0,266
2021-2-20,0,259
2021-2-21,0,253
2021-2-22,0,240
2021-2-23,0,240
2021-2-24,0,239
2021-2-25,0,229
2021-2-26,0,218
2021-2-27,0,209
2021-2-28,0,211
2021-3-1,0,203
2021-3-2,0,190
2021-3-3,0,186
2021-3-4,0,177
2021-3-5,0,173
2021-3-6,0,171
2021-3-7,0,183
