Date,UTDATA.OnVentCum,UTDATA.OnVentCurr
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,73,0
2020-5-8,73,0
2020-5-9,75,0
2020-5-10,76,0
2020-5-11,76,0
2020-5-12,80,0
2020-5-13,81,0
2020-5-14,83,0
2020-5-15,83,0
2020-5-16,84,0
2020-5-17,84,0
2020-5-18,84,0
2020-5-19,84,0
2020-5-20,87,0
2020-5-21,88,0
2020-5-22,88,0
2020-5-23,88,0
2020-5-24,88,0
2020-5-25,88,0
2020-5-26,89,0
2020-5-27,94,0
2020-5-28,98,0
2020-5-29,102,0
2020-5-30,102,0
2020-5-31,102,0
2020-6-1,102,0
2020-6-2,104,0
2020-6-3,107,0
2020-6-4,108,0
2020-6-5,109,0
2020-6-6,110,0
2020-6-7,111,0
2020-6-8,112,0
2020-6-9,116,0
2020-6-10,116,0
2020-6-11,123,0
2020-6-12,130,0
2020-6-13,132,0
2020-6-14,134,0
2020-6-15,134,0
2020-6-16,138,0
2020-6-17,142,0
2020-6-18,145,0
2020-6-19,148,0
2020-6-20,149,0
2020-6-21,150,0
2020-6-22,150,0
2020-6-23,153,0
2020-6-24,154,0
2020-6-25,160,0
2020-6-26,161,0
2020-6-27,166,0
2020-6-28,167,0
2020-6-29,170,0
2020-6-30,178,0
2020-7-1,187,0
2020-7-2,190,0
2020-7-3,193,0
2020-7-4,194,0
2020-7-5,195,0
2020-7-6,194,0
2020-7-7,200,0
2020-7-8,203,0
2020-7-9,204,0
2020-7-10,205,0
2020-7-11,207,0
2020-7-12,207,0
2020-7-13,208,0
2020-7-14,210,0
2020-7-15,214,0
2020-7-16,214,0
2020-7-17,220,0
2020-7-18,222,0
2020-7-19,222,0
2020-7-20,224,0
2020-7-21,229,0
2020-7-22,231,0
2020-7-23,234,0
2020-7-24,237,0
2020-7-25,238,0
2020-7-26,239,0
2020-7-27,239,0
2020-7-28,240,0
2020-7-29,244,0
2020-7-30,249,0
2020-7-31,250,0
2020-8-1,255,0
2020-8-2,256,0
2020-8-3,257,0
2020-8-4,261,0
2020-8-5,265,0
2020-8-6,266,0
2020-8-7,269,0
2020-8-8,272,0
2020-8-9,274,0
2020-8-10,275,0
2020-8-11,277,0
2020-8-12,279,0
2020-8-13,281,0
2020-8-14,285,0
2020-8-15,286,0
2020-8-16,287,0
2020-8-17,286,0
2020-8-18,288,0
2020-8-19,289,0
2020-8-20,292,0
2020-8-21,294,0
2020-8-22,297,0
2020-8-23,298,0
2020-8-24,298,0
2020-8-25,306,0
2020-8-26,308,0
2020-8-27,310,0
2020-8-28,318,0
2020-8-29,319,0
2020-8-30,319,0
2020-8-31,319,0
2020-9-1,322,0
2020-9-2,325,0
2020-9-3,329,0
2020-9-4,329,0
2020-9-5,331,0
2020-9-6,333,0
2020-9-7,334,0
2020-9-8,334,0
2020-9-9,336,0
2020-9-10,337,0
2020-9-11,338,0
2020-9-12,344,0
2020-9-13,344,0
2020-9-14,345,0
2020-9-15,346,0
2020-9-16,348,0
2020-9-17,348,0
2020-9-18,349,0
2020-9-19,349,0
2020-9-20,350,0
2020-9-21,350,0
2020-9-22,352,0
2020-9-23,354,0
2020-9-24,356,0
2020-9-25,357,0
2020-9-26,358,0
2020-9-27,359,0
2020-9-28,361,0
2020-9-29,362,0
2020-9-30,363,0
2020-10-1,364,0
2020-10-2,365,0
2020-10-3,366,0
2020-10-4,366,0
2020-10-5,366,0
2020-10-6,370,0
2020-10-7,371,0
2020-10-8,376,0
2020-10-9,380,0
2020-10-10,385,0
2020-10-11,385,0
2020-10-12,385,0
2020-10-13,392,0
2020-10-14,396,0
2020-10-15,400,0
2020-10-16,400,0
2020-10-17,401,0
2020-10-18,401,0
2020-10-19,401,0
2020-10-20,403,0
2020-10-21,406,0
2020-10-22,409,0
2020-10-23,415,0
2020-10-24,417,0
2020-10-25,419,0
2020-10-26,419,0
2020-10-27,423,0
2020-10-28,425,0
2020-10-29,430,0
2020-10-30,432,0
2020-10-31,437,0
2020-11-1,443,0
2020-11-2,443,0
2020-11-3,451,0
2020-11-4,456,0
2020-11-5,465,0
2020-11-6,465,0
2020-11-7,471,0
2020-11-8,472,0
2020-11-9,473,0
2020-11-10,476,0
2020-11-11,479,0
2020-11-12,480,0
2020-11-13,485,0
2020-11-14,486,0
2020-11-15,487,0
2020-11-16,487,0
2020-11-17,494,0
2020-11-18,495,0
2020-11-19,502,0
2020-11-20,509,0
2020-11-21,513,0
2020-11-22,516,0
2020-11-23,516,0
2020-11-24,519,0
2020-11-25,526,0
2020-11-26,526,0
2020-11-27,532,0
2020-11-28,533,0
2020-11-29,533,0
2020-11-30,533,0
2020-12-1,543,0
2020-12-2,543,0
2020-12-3,544,0
2020-12-4,550,0
2020-12-5,557,0
2020-12-6,558,0
2020-12-7,558,0
2020-12-8,567,0
2020-12-9,570,0
2020-12-10,573,0
2020-12-11,577,0
2020-12-12,580,0
2020-12-13,581,0
2020-12-14,585,0
2020-12-15,592,0
2020-12-16,598,0
2020-12-17,601,0
2020-12-18,605,0
2020-12-19,605,0
2020-12-20,606,0
2020-12-21,609,0
2020-12-22,615,0
2020-12-23,620,0
2020-12-24,623,0
2020-12-25,623,0
2020-12-26,625,0
2020-12-27,625,0
2020-12-28,625,0
2020-12-29,631,0
2020-12-30,633,0
2020-12-31,641,0
2021-1-1,641,0
2021-1-2,643,0
2021-1-3,643,0
2021-1-4,647,0
2021-1-5,650,0
2021-1-6,651,0
2021-1-7,654,0
2021-1-8,657,0
2021-1-9,660,0
2021-1-10,663,0
2021-1-11,664,0
2021-1-12,668,0
2021-1-13,673,0
2021-1-14,675,0
2021-1-15,677,0
2021-1-16,678,0
2021-1-17,679,0
2021-1-18,679,0
2021-1-19,681,0
2021-1-20,687,0
2021-1-21,694,0
2021-1-22,698,0
2021-1-23,707,0
2021-1-24,708,0
2021-1-25,709,0
2021-1-26,716,0
2021-1-27,719,0
2021-1-28,725,0
2021-1-29,727,0
2021-1-30,731,0
2021-1-31,731,0
2021-2-1,731,0
2021-2-2,734,0
2021-2-3,736,0
2021-2-4,742,0
2021-2-5,742,0
2021-2-6,749,0
2021-2-7,750,0
2021-2-8,751,0
2021-2-9,754,0
2021-2-10,763,0
2021-2-11,766,0
2021-2-12,770,0
2021-2-13,776,0
2021-2-14,777,0
2021-2-15,778,0
2021-2-16,779,0
2021-2-17,784,0
2021-2-18,788,0
2021-2-19,793,0
2021-2-20,796,0
2021-2-21,796,0
2021-2-22,796,0
2021-2-23,801,0
2021-2-24,807,0
2021-2-25,810,0
2021-2-26,811,0
2021-2-27,813,0
2021-2-28,813,0
2021-3-1,813,0
2021-3-2,818,0
2021-3-3,818,0
2021-3-4,818,0
2021-3-5,820,0
2021-3-6,822,0
2021-3-7,822,0
