Date,WADATA.Death,WADATA.DeathIncrease
2020-1-13,0,0
2020-1-14,0,0
2020-1-15,0,0
2020-1-16,0,0
2020-1-17,0,0
2020-1-18,0,0
2020-1-19,0,0
2020-1-20,0,0
2020-1-21,0,0
2020-1-22,0,0
2020-1-23,0,0
2020-1-24,0,0
2020-1-25,0,0
2020-1-26,0,0
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,2,2
2020-2-27,2,0
2020-2-28,4,2
2020-2-29,5,1
2020-3-1,8,3
2020-3-2,11,3
2020-3-3,14,3
2020-3-4,16,2
2020-3-5,20,4
2020-3-6,26,6
2020-3-7,27,1
2020-3-8,31,4
2020-3-9,35,4
2020-3-10,37,2
2020-3-11,40,3
2020-3-12,44,4
2020-3-13,47,3
2020-3-14,51,4
2020-3-15,57,6
2020-3-16,69,12
2020-3-17,78,9
2020-3-18,82,4
2020-3-19,92,10
2020-3-20,104,12
2020-3-21,111,7
2020-3-22,126,15
2020-3-23,137,11
2020-3-24,146,9
2020-3-25,159,13
2020-3-26,183,24
2020-3-27,199,16
2020-3-28,220,21
2020-3-29,237,17
2020-3-30,248,11
2020-3-31,262,14
2020-4-1,282,20
2020-4-2,310,28
2020-4-3,338,28
2020-4-4,365,27
2020-4-5,386,21
2020-4-6,407,21
2020-4-7,429,22
2020-4-8,443,14
2020-4-9,459,16
2020-4-10,476,17
2020-4-11,494,18
2020-4-12,509,15
2020-4-13,526,17
2020-4-14,542,16
2020-4-15,551,9
2020-4-16,571,20
2020-4-17,585,14
2020-4-18,598,13
