Date,WIDATA.Death,WIDATA.DeathIncrease
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,3,3
2020-3-21,4,1
2020-3-22,4,0
2020-3-23,5,1
2020-3-24,5,0
2020-3-25,7,2
2020-3-26,8,1
2020-3-27,13,5
2020-3-28,13,0
2020-3-29,13,0
2020-3-30,14,1
2020-3-31,16,2
2020-4-1,24,8
2020-4-2,31,7
2020-4-3,37,6
2020-4-4,56,19
2020-4-5,68,12
2020-4-6,77,9
2020-4-7,92,15
2020-4-8,99,7
2020-4-9,111,12
2020-4-10,128,17
2020-4-11,137,9
2020-4-12,144,7
2020-4-13,154,10
2020-4-14,170,16
2020-4-15,182,12
2020-4-16,197,15
2020-4-17,205,8
2020-4-18,211,6
2020-4-19,220,9
2020-4-20,230,10
2020-4-21,242,12
2020-4-22,246,4
2020-4-23,257,11
2020-4-24,262,5
2020-4-25,266,4
2020-4-26,272,6
2020-4-27,281,9
2020-4-28,300,19
2020-4-29,308,8
2020-4-30,316,8
2020-5-1,327,11
2020-5-2,334,7
2020-5-3,339,5
2020-5-4,340,1
2020-5-5,353,13
2020-5-6,362,9
2020-5-7,374,12
2020-5-8,384,10
2020-5-9,398,14
2020-5-10,400,2
2020-5-11,409,9
2020-5-12,418,9
2020-5-13,421,3
2020-5-14,434,13
2020-5-15,445,11
2020-5-16,453,8
2020-5-17,453,0
2020-5-18,459,6
2020-5-19,467,8
2020-5-20,481,14
2020-5-21,487,6
2020-5-22,496,9
2020-5-23,507,11
2020-5-24,510,3
2020-5-25,514,4
2020-5-26,517,3
2020-5-27,539,22
2020-5-28,550,11
2020-5-29,568,18
2020-5-30,588,20
2020-5-31,592,4
2020-6-1,595,3
2020-6-2,607,12
2020-6-3,616,9
2020-6-4,626,10
2020-6-5,633,7
2020-6-6,645,12
2020-6-7,647,2
2020-6-8,646,0
2020-6-9,661,15
2020-6-10,671,10
2020-6-11,682,11
2020-6-12,689,7
2020-6-13,691,2
2020-6-14,692,1
2020-6-15,694,2
2020-6-16,703,9
2020-6-17,712,9
2020-6-18,719,7
2020-6-19,730,11
2020-6-20,744,14
2020-6-21,744,0
2020-6-22,745,1
2020-6-23,750,5
2020-6-24,757,7
2020-6-25,766,9
2020-6-26,766,0
2020-6-27,777,11
2020-6-28,777,0
2020-6-29,784,7
2020-6-30,784,0
2020-7-1,793,9
2020-7-2,800,7
2020-7-3,803,3
2020-7-4,803,0
2020-7-5,803,0
2020-7-6,803,0
2020-7-7,812,9
2020-7-8,814,2
2020-7-9,816,2
2020-7-10,821,5
2020-7-11,828,7
2020-7-12,827,0
2020-7-13,827,0
2020-7-14,833,6
2020-7-15,834,1
2020-7-16,838,4
2020-7-17,840,2
2020-7-18,850,10
2020-7-19,851,1
2020-7-20,853,2
2020-7-21,866,13
2020-7-22,872,6
2020-7-23,885,13
2020-7-24,885,0
2020-7-25,898,13
2020-7-26,899,1
2020-7-27,900,1
2020-7-28,913,13
2020-7-29,918,5
2020-7-30,926,8
2020-7-31,941,15
2020-8-1,954,13
2020-8-2,955,1
2020-8-3,956,1
2020-8-4,968,12
2020-8-5,977,9
2020-8-6,985,8
2020-8-7,997,12
2020-8-8,1003,6
2020-8-9,1005,2
2020-8-10,1005,0
2020-8-11,1013,8
2020-8-12,1018,5
2020-8-13,1025,7
2020-8-14,1032,7
2020-8-15,1045,13
2020-8-16,1046,1
2020-8-17,1046,0
2020-8-18,1059,13
2020-8-19,1067,8
2020-8-20,1074,7
2020-8-21,1075,1
2020-8-22,1089,14
2020-8-23,1089,0
2020-8-24,1089,0
2020-8-25,1102,13
2020-8-26,1108,6
2020-8-27,1119,11
2020-8-28,1121,2
2020-8-29,1127,6
2020-8-30,1130,3
2020-8-31,1130,0
2020-9-1,1139,9
2020-9-2,1150,11
2020-9-3,1154,4
2020-9-4,1161,7
2020-9-5,1176,15
2020-9-6,1176,0
2020-9-7,1176,0
2020-9-8,1176,0
2020-9-9,1191,15
2020-9-10,1201,10
2020-9-11,1205,4
2020-9-12,1217,12
2020-9-13,1218,1
2020-9-14,1218,0
2020-9-15,1229,11
2020-9-16,1237,8
2020-9-17,1239,2
2020-9-18,1246,7
2020-9-19,1249,3
2020-9-20,1250,1
2020-9-21,1252,2
2020-9-22,1259,7
2020-9-23,1268,9
2020-9-24,1275,7
2020-9-25,1284,9
2020-9-26,1291,7
2020-9-27,1291,0
2020-9-28,1293,2
2020-9-29,1310,17
2020-9-30,1337,27
2020-10-1,1358,21
2020-10-2,1363,5
2020-10-3,1383,20
2020-10-4,1388,5
2020-10-5,1392,4
2020-10-6,1410,18
2020-10-7,1426,16
2020-10-8,1435,9
2020-10-9,1451,16
2020-10-10,1468,17
2020-10-11,1475,7
2020-10-12,1484,9
2020-10-13,1518,34
2020-10-14,1547,29
2020-10-15,1565,18
2020-10-16,1588,23
2020-10-17,1588,0
2020-10-18,1588,0
2020-10-19,1617,29
2020-10-20,1652,35
2020-10-21,1702,50
2020-10-22,1725,23
2020-10-23,1774,49
2020-10-24,1803,29
2020-10-25,1813,10
2020-10-26,1824,11
2020-10-27,1895,71
2020-10-28,1943,48
2020-10-29,2003,60
2020-10-30,2029,26
2020-10-31,2092,63
2020-11-1,2110,18
2020-11-2,2113,3
2020-11-3,2171,58
2020-11-4,2229,58
2020-11-5,2269,40
2020-11-6,2333,64
2020-11-7,2381,48
2020-11-8,2392,11
2020-11-9,2410,18
2020-11-10,2482,72
2020-11-11,2554,72
2020-11-12,2621,67
2020-11-13,2683,62
2020-11-14,2739,56
2020-11-15,2751,12
2020-11-16,2764,13
2020-11-17,2867,103
2020-11-18,2925,58
2020-11-19,3010,85
2020-11-20,3091,81
2020-11-21,3143,52
2020-11-22,3150,7
2020-11-23,3158,8
2020-11-24,3272,114
2020-11-25,3343,71
2020-11-26,3415,72
2020-11-27,3434,19
2020-11-28,3464,30
2020-11-29,3487,23
2020-11-30,3494,7
2020-12-1,3611,117
2020-12-2,3703,92
2020-12-3,3773,70
2020-12-4,3842,69
2020-12-5,3934,92
2020-12-6,3952,18
2020-12-7,3973,21
2020-12-8,4054,81
2020-12-9,4142,88
2020-12-10,4209,67
2020-12-11,4266,57
2020-12-12,4324,58
2020-12-13,4339,15
2020-12-14,4352,13
2020-12-15,4408,56
2020-12-16,4493,85
2020-12-17,4561,68
2020-12-18,4632,71
2020-12-19,4722,90
2020-12-20,4743,21
2020-12-21,4751,8
2020-12-22,4879,128
2020-12-23,4953,74
2020-12-24,5019,66
2020-12-25,5025,6
2020-12-26,5029,4
2020-12-27,5039,10
2020-12-28,5060,21
2020-12-29,5152,92
2020-12-30,5192,40
2020-12-31,5242,50
2021-1-1,5254,12
2021-1-2,5256,2
2021-1-3,5261,5
2021-1-4,5269,8
2021-1-5,5366,97
2021-1-6,5435,69
2021-1-7,5477,42
2021-1-8,5529,52
2021-1-9,5567,38
2021-1-10,5570,3
2021-1-11,5575,5
2021-1-12,5633,58
2021-1-13,5679,46
2021-1-14,5728,49
2021-1-15,5770,42
2021-1-16,5905,135
2021-1-17,5906,1
2021-1-18,5926,20
2021-1-19,5973,47
2021-1-20,6035,62
2021-1-21,6090,55
2021-1-22,6135,45
2021-1-23,6184,49
2021-1-24,6190,6
2021-1-25,6199,9
2021-1-26,6264,65
2021-1-27,6302,38
2021-1-28,6334,32
2021-1-29,6390,56
2021-1-30,6430,40
2021-1-31,6434,4
2021-2-1,6436,2
2021-2-2,6480,44
2021-2-3,6496,16
2021-2-4,6545,49
2021-2-5,6575,30
2021-2-6,6611,36
2021-2-7,6613,2
2021-2-8,6614,1
2021-2-9,6663,49
2021-2-10,6705,42
2021-2-11,6723,18
2021-2-12,6734,11
2021-2-13,6744,10
2021-2-14,6745,1
2021-2-15,6749,4
2021-2-16,6788,39
2021-2-17,6798,10
2021-2-18,6816,18
2021-2-19,6852,36
2021-2-20,6871,19
2021-2-21,6871,0
2021-2-22,6871,0
2021-2-23,6910,39
2021-2-24,6936,26
2021-2-25,6994,58
2021-2-26,6999,5
2021-2-27,7014,15
2021-2-28,7014,0
2021-3-1,7014,0
2021-3-2,7050,36
2021-3-3,7069,19
2021-3-4,7082,13
2021-3-5,7094,12
2021-3-6,7102,8
2021-3-7,7106,4
