Date,USDATA.TCases,USDATA.TDeaths
2020-01-22,1.0,
2020-01-23,1.0,
2020-01-24,2.0,
2020-01-25,2.0,
2020-01-26,5.0,
2020-01-27,5.0,
2020-01-28,5.0,
2020-01-29,6.0,
2020-01-30,6.0,
2020-01-31,8.0,
2020-02-01,8.0,
2020-02-02,8.0,
2020-02-03,11.0,
2020-02-04,11.0,
2020-02-05,11.0,
2020-02-06,12.0,
2020-02-07,12.0,
2020-02-08,12.0,
2020-02-09,12.0,
2020-02-10,12.0,
2020-02-11,13.0,
2020-02-12,13.0,
2020-02-13,14.0,
2020-02-14,14.0,
2020-02-15,14.0,
2020-02-16,14.0,
2020-02-17,14.0,
2020-02-18,14.0,
2020-02-19,14.0,
2020-02-20,14.0,
2020-02-21,16.0,
2020-02-22,16.0,
2020-02-23,16.0,
2020-02-24,16.0,
2020-02-25,16.0,
2020-02-26,16.0,
2020-02-27,17.0,
2020-02-28,17.0,
2020-02-29,25.0,1.0
2020-03-01,32.0,1.0
2020-03-02,55.0,6.0
2020-03-03,74.0,7.0
2020-03-04,107.0,11.0
2020-03-05,184.0,12.0
2020-03-06,237.0,14.0
2020-03-07,403.0,17.0
2020-03-08,519.0,21.0
2020-03-09,594.0,22.0
2020-03-10,782.0,28.0
2020-03-11,1147.0,33.0
2020-03-12,1586.0,43.0
2020-03-13,2219.0,51.0
2020-03-14,2978.0,58.0
2020-03-15,3212.0,70.0
2020-03-16,4679.0,97.0
2020-03-17,6512.0,133.0
2020-03-18,9169.0,192.0
2020-03-19,13663.0,264.0
2020-03-20,20030.0,367.0
2020-03-21,26025.0,466.0
2020-03-22,34855.0,576.0
2020-03-23,46086.0,763.0
2020-03-24,56698.0,1004.0
2020-03-25,68773.0,1330.0
2020-03-26,86613.0,1742.0
2020-03-27,105293.0,2263.0
2020-03-28,124900.0,2898.0
2020-03-29,143779.0,3490.0
2020-03-30,165861.0,4187.0
2020-03-31,192177.0,5278.0
2020-04-01,218060.0,6459.0
2020-04-02,248447.0,7962.0
2020-04-03,280417.0,9358.0
2020-04-04,313432.0,10899.0
2020-04-05,341629.0,12472.0
2020-04-06,371802.0,14249.0
2020-04-07,403212.0,16821.0
2020-04-08,435407.0,18974.0
2020-04-09,469989.0,21193.0
2020-04-10,503474.0,23420.0
2020-04-11,532782.0,25545.0
2020-04-12,559709.0,27359.0
2020-04-13,585518.0,29303.0
2020-04-14,614082.0,31750.0
2020-04-15,644247.0,34358.0
2020-04-16,675648.0,36525.0
2020-04-17,708317.0,38616.0
2020-04-18,736244.0,40583.0
2020-04-19,761933.0,42518.0
2020-04-20,790353.0,44703.0
2020-04-21,816413.0,47247.0
2020-04-22,845727.0,49687.0
2020-04-23,878911.0,52153.0
2020-04-24,912662.0,54311.0
2020-04-25,944234.0,56014.0
2020-04-26,971078.0,57350.0
2020-04-27,994265.0,58816.0
2020-04-28,1018926.0,61052.0
2020-04-29,1046737.0,63578.0
2020-04-30,1076224.0,65994.0
2020-05-01,1110464.0,67873.0
2020-05-02,1138228.0,69559.0
2020-05-03,1162685.0,70668.0
2020-05-04,1186067.0,71987.0
2020-05-05,1210577.0,74280.0
2020-05-06,1235666.0,76624.0
2020-05-07,1263402.0,78553.0
2020-05-08,1290151.0,80296.0
2020-05-09,1315099.0,81836.0
2020-05-10,1333970.0,82741.0
2020-05-11,1353397.0,83747.0
2020-05-12,1376122.0,85364.0
2020-05-13,1397085.0,87111.0
2020-05-14,1424243.0,88894.0
2020-05-15,1449498.0,90559.0
2020-05-16,1473514.0,91830.0
2020-05-17,1491829.0,92583.0
2020-05-18,1513816.0,93755.0
2020-05-19,1534871.0,95274.0
2020-05-20,1557933.0,96792.0
2020-05-21,1583798.0,97996.0
2020-05-22,1607109.0,99240.0
2020-05-23,1628212.0,100374.0
2020-05-24,1648158.0,100993.0
2020-05-25,1666505.0,101554.0
2020-05-26,1685956.0,102217.0
2020-05-27,1704489.0,103721.0
2020-05-28,1727357.0,104905.0
2020-05-29,1751612.0,106067.0
2020-05-30,1775428.0,107023.0
2020-05-31,1794465.0,107714.0
2020-06-01,1811393.0,108495.0
2020-06-02,1832782.0,109534.0
2020-06-03,1852788.0,110528.0
2020-06-04,1874156.0,111534.0
2020-06-05,1899505.0,112432.0
2020-06-06,1920910.0,113132.0
2020-06-07,1938572.0,113575.0
2020-06-08,1956064.0,114074.0
2020-06-09,1974425.0,115003.0
2020-06-10,1995376.0,115901.0
2020-06-11,2018418.0,116757.0
2020-06-12,2043332.0,117580.0
2020-06-13,2068600.0,118354.0
2020-06-14,2087619.0,118671.0
2020-06-15,2107075.0,119058.0
2020-06-16,2130768.0,119881.0
2020-06-17,2157267.0,120609.0
2020-06-18,2185134.0,121314.0
2020-06-19,2216115.0,121976.0
2020-06-20,2248032.0,122585.0
2020-06-21,2274000.0,122881.0
2020-06-22,2304676.0,123270.0
2020-06-23,2340884.0,124109.0
2020-06-24,2375310.0,124871.0
2020-06-25,2415666.0,125419.0
2020-06-26,2461019.0,126043.0
2020-06-27,2502378.0,126546.0
2020-06-28,2542787.0,126831.0
2020-06-29,2582844.0,127221.0
2020-06-30,2628824.0,127860.0
2020-07-01,2680312.0,128551.0
2020-07-02,2735900.0,129273.0
2020-07-03,2787741.0,129932.0
2020-07-04,2833290.0,130212.0
2020-07-05,2882870.0,130509.0
2020-07-06,2927032.0,130873.0
2020-07-07,2987787.0,132083.0
2020-07-08,3047527.0,132938.0
2020-07-09,3110094.0,133937.0
2020-07-10,3177953.0,134756.0
2020-07-11,3237991.0,135459.0
2020-07-12,3297076.0,135929.0
2020-07-13,3355869.0,136303.0
2020-07-14,3423296.0,137215.0
2020-07-15,3490931.0,138188.0
2020-07-16,3568033.0,139151.0
2020-07-17,3639705.0,140068.0
2020-07-18,3702175.0,140935.0
2020-07-19,3762891.0,141397.0
2020-07-20,3824368.0,141932.0
2020-07-21,3888607.0,143039.0
2020-07-22,3960522.0,144246.0
2020-07-23,4029033.0,145344.0
2020-07-24,4102241.0,146492.0
2020-07-25,4167616.0,147365.0
2020-07-26,4222480.0,147864.0
2020-07-27,4278427.0,148994.0
2020-07-28,4344212.0,150364.0
2020-07-29,4416044.0,151777.0
2020-07-30,4483643.0,152993.0
2020-07-31,4551554.0,154238.0
2020-08-01,4609393.0,155349.0
2020-08-02,4655662.0,155761.0
2020-08-03,4700229.0,156312.0
2020-08-04,4757512.0,157668.0
2020-08-05,4811945.0,159050.0
2020-08-06,4871426.0,160297.0
2020-08-07,4929748.0,161533.0
2020-08-08,4984197.0,162622.0
2020-08-09,5030566.0,163141.0
2020-08-10,5079299.0,163683.0
2020-08-11,5126209.0,164732.0
2020-08-12,5183020.0,166242.0
2020-08-13,5234762.0,167302.0
2020-08-14,5299526.0,168642.0
2020-08-15,5346316.0,169672.0
2020-08-16,5387497.0,170252.0
2020-08-17,5423981.0,170700.0
2020-08-18,5469015.0,172023.0
2020-08-19,5516408.0,173353.0
2020-08-20,5560495.0,174440.0
2020-08-21,5608748.0,175543.0
2020-08-22,5652401.0,176523.0
2020-08-23,5686911.0,176984.0
2020-08-24,5723343.0,177429.0
2020-08-25,5763322.0,178648.0
2020-08-26,5808842.0,179870.0
2020-08-27,5853962.0,180968.0
2020-08-28,5900891.0,181937.0
2020-08-29,5946305.0,182779.0
2020-08-30,5981092.0,183215.0
2020-08-31,6016230.0,183812.0
2020-09-01,6057907.0,184871.0
2020-09-02,6098858.0,185913.0
2020-09-03,6142639.0,186975.0
2020-09-04,6192768.0,187942.0
2020-09-05,6235960.0,188709.0
2020-09-06,6267471.0,189114.0
2020-09-07,6291016.0,189391.0
2020-09-08,6317861.0,189841.0
2020-09-09,6351756.0,191019.0
2020-09-10,6387822.0,191931.0
2020-09-11,6435261.0,193134.0
2020-09-12,6476264.0,193843.0
2020-09-13,6510569.0,194232.0
2020-09-14,6544411.0,194654.0
2020-09-15,6583796.0,195942.0
2020-09-16,6622256.0,196926.0
2020-09-17,6667178.0,197796.0
2020-09-18,6715928.0,198716.0
2020-09-19,6758440.0,199426.0
2020-09-20,6796884.0,199667.0
2020-09-21,6848379.0,200093.0
2020-09-22,6887861.0,201114.0
2020-09-23,6926442.0,202203.0
2020-09-24,6972152.0,203117.0
2020-09-25,7020206.0,204056.0
2020-09-26,7064600.0,204806.0
2020-09-27,7101880.0,205088.0
2020-09-28,7134164.0,205413.0
2020-09-29,7176856.0,206316.0
2020-09-30,7218052.0,207253.0
2020-10-01,7263409.0,208103.0
2020-10-02,7317878.0,209034.0
2020-10-03,7366505.0,209714.0
2020-10-04,7402597.0,210064.0
2020-10-05,7441432.0,210529.0
2020-10-06,7486113.0,211231.0
2020-10-07,7536755.0,212156.0
