Date,DATA.USADeaths,DATA.SwedDeaths,DATA.GermDeaths,DATA.AustDeaths
2019-12-31,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,1.0,0.0,0.0,1.0
2020-03-02,2.0,0.0,0.0,1.0
2020-03-03,6.0,0.0,0.0,1.0
2020-03-04,9.0,0.0,0.0,1.0
2020-03-05,11.0,0.0,0.0,2.0
2020-03-06,12.0,0.0,0.0,2.0
2020-03-07,14.0,0.0,0.0,2.0
2020-03-08,17.0,0.0,0.0,3.0
2020-03-09,21.0,0.0,0.0,3.0
2020-03-10,26.0,0.0,2.0,3.0
2020-03-11,28.0,0.0,2.0,3.0
2020-03-12,30.0,6.0,3.0,3.0
2020-03-13,40.0,6.0,5.0,3.0
2020-03-14,47.0,7.0,5.0,3.0
2020-03-15,57.0,8.0,8.0,3.0
2020-03-16,69.0,10.0,12.0,5.0
2020-03-17,85.0,12.0,13.0,5.0
2020-03-18,108.0,13.0,13.0,5.0
2020-03-19,150.0,19.0,13.0,6.0
2020-03-20,150.0,26.0,43.0,6.0
2020-03-21,260.0,35.0,45.0,7.0
2020-03-22,340.0,43.0,67.0,7.0
2020-03-23,471.0,54.0,94.0,7.0
2020-03-24,590.0,65.0,126.0,7.0
2020-03-25,801.0,86.0,149.0,8.0
2020-03-26,1050.0,108.0,198.0,11.0
2020-03-27,1296.0,139.0,253.0,13.0
2020-03-28,1707.0,171.0,325.0,13.0
2020-03-29,2191.0,206.0,389.0,14.0
2020-03-30,2509.0,244.0,455.0,16.0
2020-03-31,3170.0,289.0,583.0,19.0
2020-04-01,4079.0,337.0,732.0,20.0
2020-04-02,5138.0,390.0,872.0,21.0
2020-04-03,6053.0,460.0,1017.0,23.0
2020-04-04,7157.0,540.0,1158.0,30.0
2020-04-05,8501.0,610.0,1342.0,34.0
2020-04-06,9647.0,695.0,1434.0,36.0
2020-04-07,10989.0,785.0,1607.0,42.0
2020-04-08,12895.0,869.0,1861.0,45.0
2020-04-09,14817.0,984.0,2107.0,50.0
2020-04-10,16690.0,1070.0,2373.0,52.0
2020-04-11,18777.0,1160.0,2544.0,54.0
2020-04-12,20608.0,1262.0,2673.0,57.0
2020-04-13,22108.0,1359.0,2799.0,61.0
2020-04-14,23649.0,1443.0,2969.0,61.0
2020-04-15,26057.0,1535.0,3254.0,61.0
2020-04-16,30985.0,1650.0,3569.0,63.0
2020-04-17,33284.0,1761.0,3868.0,63.0
2020-04-18,37054.0,1844.0,4110.0,67.0
2020-04-19,38910.0,1930.0,4294.0,69.0
2020-04-20,40682.0,2017.0,4404.0,70.0
2020-04-21,42539.0,2102.0,4598.0,71.0
2020-04-22,45063.0,2164.0,4879.0,74.0
2020-04-23,46784.0,2241.0,5094.0,74.0
2020-04-24,49963.0,2327.0,5321.0,75.0
2020-04-25,51017.0,2416.0,5500.0,79.0
2020-04-26,53189.0,2489.0,5640.0,81.0
2020-04-27,54876.0,2563.0,5750.0,83.0
2020-04-28,56245.0,2637.0,5913.0,84.0
2020-04-29,58355.0,2720.0,6115.0,88.0
2020-04-30,60966.0,2803.0,6288.0,90.0
2020-05-01,63006.0,2881.0,6481.0,92.0
2020-05-02,65068.0,2959.0,6575.0,93.0
2020-05-03,66385.0,3032.0,6649.0,93.0
2020-05-04,67682.0,3107.0,6692.0,95.0
2020-05-05,68934.0,3191.0,6831.0,95.0
2020-05-06,71078.0,3263.0,6996.0,96.0
2020-05-07,73431.0,3336.0,7119.0,97.0
2020-05-08,75670.0,3416.0,7266.0,97.0
2020-05-09,77180.0,3476.0,7369.0,97.0
2020-05-10,78794.0,3545.0,7395.0,97.0
2020-05-11,79528.0,3618.0,7417.0,97.0
2020-05-12,80684.0,3683.0,7533.0,97.0
2020-05-13,82387.0,3744.0,7634.0,97.0
2020-05-14,84133.0,3794.0,7723.0,98.0
2020-05-15,85906.0,3840.0,7824.0,98.0
2020-05-16,87568.0,3899.0,7881.0,98.0
2020-05-17,88754.0,3948.0,7914.0,98.0
2020-05-18,89562.0,4001.0,7935.0,98.0
2020-05-19,90353.0,4060.0,8007.0,99.0
2020-05-20,91921.0,4102.0,8090.0,99.0
2020-05-21,93439.0,4154.0,8147.0,100.0
2020-05-22,94702.0,4209.0,8174.0,100.0
2020-05-23,96007.0,4265.0,8216.0,101.0
2020-05-24,97087.0,4320.0,8247.0,102.0
2020-05-25,97720.0,4365.0,8257.0,102.0
2020-05-26,98220.0,4407.0,8302.0,102.0
2020-05-27,98916.0,4435.0,8349.0,102.0
2020-05-28,100442.0,4473.0,8411.0,102.0
2020-05-29,101617.0,4513.0,8450.0,102.0
2020-05-30,102836.0,4554.0,8489.0,102.0
2020-05-31,103781.0,4593.0,8500.0,102.0
2020-06-01,104383.0,4639.0,8511.0,102.0
2020-06-02,105147.0,4678.0,8522.0,102.0
2020-06-03,106181.0,4715.0,8551.0,102.0
2020-06-04,107175.0,4743.0,8581.0,102.0
2020-06-05,108211.0,4786.0,8613.0,102.0
2020-06-06,109143.0,4823.0,8646.0,102.0
2020-06-07,109802.0,4853.0,8668.0,102.0
2020-06-08,110514.0,4886.0,8674.0,102.0
2020-06-09,111007.0,4924.0,8711.0,102.0
2020-06-10,112006.0,4957.0,8729.0,102.0
2020-06-11,112924.0,4997.0,8755.0,102.0
2020-06-12,113820.0,5033.0,8763.0,102.0
2020-06-13,114669.0,5063.0,8781.0,102.0
2020-06-14,115436.0,5096.0,8787.0,102.0
2020-06-15,115732.0,5123.0,8791.0,102.0
2020-06-16,116127.0,5154.0,8800.0,102.0
2020-06-17,116963.0,5182.0,8830.0,102.0
2020-06-18,117717.0,5215.0,8856.0,102.0
2020-06-19,118434.0,5244.0,8872.0,102.0
2020-06-20,119112.0,5274.0,8882.0,102.0
2020-06-21,119719.0,5303.0,8882.0,102.0
2020-06-22,119975.0,5325.0,8885.0,102.0
2020-06-23,120402.0,5345.0,8895.0,102.0
2020-06-24,121228.0,5370.0,8914.0,102.0
2020-06-25,121979.0,5392.0,8927.0,103.0
2020-06-26,124416.0,5416.0,8948.0,104.0
2020-06-27,125039.0,5427.0,8954.0,104.0
2020-06-28,125539.0,5441.0,8957.0,104.0
2020-06-29,125804.0,5464.0,8961.0,104.0
2020-06-30,126140.0,5480.0,8973.0,104.0
2020-07-01,127410.0,5501.0,8985.0,104.0
2020-07-02,128062.0,5517.0,8994.0,104.0
2020-07-03,128740.0,5532.0,9003.0,104.0
2020-07-04,129434.0,5540.0,9010.0,104.0
2020-07-05,129676.0,5555.0,9012.0,104.0
2020-07-06,129947.0,5564.0,9016.0,104.0
2020-07-07,130306.0,5579.0,9024.0,106.0
2020-07-08,131480.0,5591.0,9036.0,106.0
2020-07-09,132309.0,5602.0,9048.0,106.0
2020-07-10,133291.0,5617.0,9054.0,106.0
2020-07-11,134097.0,5631.0,9060.0,106.0
2020-07-12,134814.0,5641.0,9063.0,107.0
2020-07-13,135205.0,5650.0,9064.0,108.0
2020-07-14,135605.0,5664.0,9068.0,108.0
2020-07-15,136466.0,5672.0,9071.0,108.0
2020-07-16,137419.0,5678.0,9078.0,111.0
2020-07-17,138358.0,5684.0,9082.0,113.0
2020-07-18,139266.0,5691.0,9083.0,116.0
2020-07-19,140119.0,5702.0,9084.0,118.0
2020-07-20,140534.0,5710.0,9086.0,122.0
2020-07-21,140906.0,5717.0,9090.0,123.0
2020-07-22,142066.0,5724.0,9095.0,126.0
2020-07-23,143190.0,5730.0,9101.0,128.0
2020-07-24,144242.0,5735.0,9111.0,133.0
2020-07-25,145546.0,5738.0,9118.0,139.0
2020-07-26,146460.0,5739.0,9118.0,145.0
2020-07-27,146935.0,5741.0,9118.0,155.0
2020-07-28,148011.0,5747.0,9122.0,161.0
2020-07-29,149256.0,5753.0,9128.0,167.0
2020-07-30,150713.0,5755.0,9134.0,176.0
2020-07-31,152070.0,5755.0,9141.0,189.0
2020-08-01,153314.0,5758.0,9141.0,196.0
2020-08-02,154447.0,5761.0,9141.0,200.0
2020-08-03,154860.0,5764.0,9148.0,208.0
2020-08-04,155403.0,5768.0,9156.0,221.0
2020-08-05,156806.0,5770.0,9168.0,232.0
2020-08-06,158256.0,5773.0,9175.0,247.0
2020-08-07,160104.0,5777.0,9183.0,255.0
2020-08-08,161356.0,5780.0,9195.0,266.0
2020-08-09,162425.0,5781.0,9196.0,278.0
2020-08-10,162938.0,5785.0,9197.0,295.0
2020-08-11,163461.0,5787.0,9201.0,313.0
2020-08-12,164537.0,5791.0,9207.0,331.0
2020-08-13,166027.0,5794.0,9211.0,352.0
2020-08-14,167110.0,5800.0,9225.0,361.0
2020-08-15,168446.0,5802.0,9231.0,375.0
2020-08-16,169481.0,5803.0,9231.0,379.0
2020-08-17,170052.0,5803.0,9232.0,396.0
2020-08-18,170497.0,5806.0,9232.0,421.0
2020-08-19,171821.0,5811.0,9243.0,438.0
2020-08-20,173177.0,5812.0,9253.0,450.0
2020-08-21,174255.0,5814.0,9260.0,463.0
2020-08-22,175406.0,5819.0,9267.0,472.0
2020-08-23,176362.0,5820.0,9269.0,485.0
2020-08-24,176806.0,5823.0,9272.0,502.0
2020-08-25,177279.0,5824.0,9277.0,517.0
2020-08-26,178486.0,5825.0,9280.0,525.0
2020-08-27,179714.0,5827.0,9285.0,549.0
2020-08-28,180824.0,5828.0,9288.0,572.0
2020-08-29,181773.0,5829.0,9289.0,583.0
2020-08-30,182779.0,5830.0,9295.0,600.0
2020-08-31,183069.0,5833.0,9298.0,611.0
2020-09-01,183598.0,5835.0,9302.0,652.0
2020-09-02,184689.0,5838.0,9313.0,657.0
2020-09-03,185744.0,5840.0,9321.0,663.0
2020-09-04,186797.0,5842.0,9322.0,678.0
2020-09-05,187765.0,5842.0,9324.0,737.0
2020-09-06,188538.0,5842.0,9325.0,748.0
2020-09-07,188941.0,5845.0,9325.0,753.0
2020-09-08,189208.0,5846.0,9329.0,762.0
2020-09-09,189679.0,5847.0,9338.0,770.0
2020-09-10,190815.0,5849.0,9341.0,781.0
2020-09-11,191789.0,5851.0,9342.0,788.0
2020-09-12,193016.0,5855.0,9347.0,797.0
2020-09-13,193701.0,5856.0,9349.0,803.0
2020-09-14,194079.0,5858.0,9350.0,810.0
2020-09-15,194530.0,5860.0,9362.0,816.0
2020-09-16,195937.0,5861.0,9368.0,816.0
2020-09-17,196802.0,5863.0,9371.0,824.0
2020-09-18,197633.0,5864.0,9378.0,832.0
2020-09-19,198589.0,5865.0,9384.0,837.0
2020-09-20,199258.0,5866.0,9386.0,844.0
2020-09-21,199509.0,5870.0,9386.0,849.0
2020-09-22,199881.0,5872.0,9396.0,851.0
2020-09-23,200807.0,5873.0,9409.0,854.0
2020-09-24,201909.0,5873.0,9428.0,859.0
2020-09-25,202810.0,5874.0,9443.0,861.0
2020-09-26,203774.0,5878.0,9452.0,869.0
2020-09-27,204497.0,5880.0,9457.0,870.0
2020-09-28,204756.0,5881.0,9460.0,872.0
2020-09-29,205070.0,5882.0,9471.0,875.0
2020-09-30,205998.0,5883.0,9488.0,882.0
2020-10-01,206928.0,5885.0,9500.0,882.0
2020-10-02,207808.0,5886.0,9508.0,888.0
2020-10-03,208716.0,5888.0,9527.0,890.0
2020-10-04,209394.0,5889.0,9529.0,893.0
2020-10-05,209794.0,5891.0,9534.0,894.0
2020-10-06,210192.0,5893.0,9546.0,894.0
2020-10-07,210909.0,5894.0,9562.0,895.0
2020-10-08,211801.0,5894.0,9578.0,897.0
2020-10-09,212773.0,5894.0,9589.0,897.0
