Date,DATA.USANCases,DATA.SwedNCases,DATA.GermNCases,DATA.AustNCases
2020-01-22,,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,1.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,4.0
2020-01-26,3.0,0.0,1.0,1.0
2020-01-27,0.0,0.0,3.0,0.0
2020-01-28,0.0,0.0,0.0,1.0
2020-01-29,1.0,0.0,0.0,3.0
2020-01-30,0.0,0.0,1.0,0.0
2020-01-31,2.0,1.0,3.0,3.0
2020-02-01,0.0,0.0,2.0,0.0
2020-02-02,0.0,0.0,2.0,0.0
2020-02-03,3.0,0.0,0.0,1.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,1.0
2020-02-06,1.0,0.0,1.0,1.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,1.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,2.0,0.0
2020-02-11,1.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,1.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,2.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,1.0,0.0
2020-02-25,0.0,1.0,10.0,0.0
2020-02-26,0.0,1.0,19.0,0.0
2020-02-27,1.0,8.0,2.0,0.0
2020-02-28,0.0,3.0,31.0,10.0
2020-02-29,8.0,0.0,51.0,2.0
2020-03-01,7.0,5.0,29.0,3.0
2020-03-02,23.0,13.0,37.0,9.0
2020-03-03,19.0,30.0,66.0,13.0
2020-03-04,33.0,25.0,220.0,3.0
2020-03-05,77.0,59.0,188.0,5.0
2020-03-06,53.0,33.0,129.0,3.0
2020-03-07,166.0,46.0,241.0,13.0
2020-03-08,116.0,101.0,136.0,15.0
2020-03-09,75.0,98.0,281.0,16.0
2020-03-10,188.0,196.0,451.0,21.0
2020-03-11,365.0,151.0,170.0,0.0
2020-03-12,439.0,152.0,1597.0,72.0
2020-03-13,633.0,71.0,910.0,50.0
2020-03-14,759.0,69.0,1210.0,47.0
2020-03-15,234.0,83.0,1477.0,80.0
2020-03-16,1467.0,119.0,1985.0,75.0
2020-03-17,1833.0,145.0,3070.0,116.0
2020-03-18,2657.0,143.0,2993.0,113.0
2020-03-19,4494.0,180.0,4528.0,110.0
2020-03-20,6367.0,135.0,2365.0,280.0
2020-03-21,5995.0,118.0,2660.0,478.0
2020-03-22,8830.0,182.0,4183.0,133.0
2020-03-23,11231.0,230.0,3930.0,362.0
2020-03-24,10612.0,314.0,4337.0,320.0
2020-03-25,12075.0,286.0,6615.0,446.0
2020-03-26,17840.0,365.0,6933.0,333.0
2020-03-27,18680.0,300.0,6824.0,497.0
2020-03-28,19607.0,280.0,4400.0,344.0
2020-03-29,18879.0,416.0,4790.0,377.0
2020-03-30,22082.0,475.0,4923.0,198.0
2020-03-31,26316.0,486.0,6064.0,303.0
2020-04-01,25883.0,554.0,6922.0,254.0
2020-04-02,30387.0,601.0,6365.0,214.0
2020-04-03,31970.0,357.0,4933.0,220.0
2020-04-04,33015.0,340.0,4031.0,137.0
2020-04-05,28197.0,389.0,3251.0,110.0
2020-04-06,30173.0,738.0,4289.0,98.0
2020-04-07,31410.0,655.0,5633.0,115.0
2020-04-08,32195.0,645.0,4885.0,98.0
2020-04-09,34582.0,454.0,3990.0,107.0
2020-04-10,33485.0,395.0,2737.0,88.0
2020-04-11,29308.0,464.0,2946.0,12.0
2020-04-12,26927.0,437.0,2218.0,36.0
2020-04-13,25809.0,479.0,1287.0,64.0
2020-04-14,28564.0,604.0,3394.0,25.0
2020-04-15,30165.0,623.0,2945.0,22.0
2020-04-16,31401.0,688.0,3699.0,60.0
